EHAM
LKPR
EDDF
KBOS
KATL
KBOI
PHNL
KABQ
SUMU
LEJR
SBGR
KTPA
GCRR
GMMB
KLAX
LQSA
KSAT
KCMH
KFLL
EBAW
EPRZ
EPMO
LFBD
KFSD
KEYW
SBSP
KIAD
EYVI
KGSO
KEWR
KVPS
KAFW
KDFW
KAUS
LFML
EPKK
WIII
KDSM
LEAL
LPMA
LIML
KJFK
SBRJ
KSLC
SBSV
KSEA
LEZL
YSSY
EPWA
KDCA
LEMD
EBOS
KPHX
LFPG
EGGP
KSFO
KSAN
ESSA
LFQQ
EGLL
KIAH
KIND
EDDM
DTTA
EHLE
KDEN
LFLL
EGBB
KLAS
KMDW
LPPT
KMCO
KBWI
KCLT
NZAA
EFHK
